Date,Exercise,Weight(lbs),Reps,Primary Muscle Group,Secondary Muscle Group,Volume,Week,day of week
2024-03-19,Dumbbell Bench,85.0,10,Chest,Triceps,850.0,2024-03-18,Tuesday
2024-03-19,Dumbbell Bench,85.0,8,Chest,Triceps,680.0,2024-03-18,Tuesday
2024-03-19,Dumbbell Bench,85.0,6,Chest,Triceps,510.0,2024-03-18,Tuesday
2024-03-19,Lateral Raise,30.0,12,Shoulders,,360.0,2024-03-18,Tuesday
2024-03-19,Lateral Raise,30.0,10,Shoulders,,300.0,2024-03-18,Tuesday
2024-03-19,Lateral Raise,30.0,9,Shoulders,,270.0,2024-03-18,Tuesday
2024-03-19,Lateral Raise,30.0,7,Shoulders,,210.0,2024-03-18,Tuesday
2024-03-19,Tricep Pushdown,85.0,9,Triceps,,765.0,2024-03-18,Tuesday
2024-03-19,Tricep Pushdown,85.0,8,Triceps,,680.0,2024-03-18,Tuesday
2024-03-19,Tricep Pushdown,85.0,7,Triceps,,595.0,2024-03-18,Tuesday
2024-03-19,Tricep Pushdown,85.0,6,Triceps,,510.0,2024-03-18,Tuesday
2024-03-19,Pec Dec,160.0,11,Chest,,1760.0,2024-03-18,Tuesday
2024-03-19,Pec Dec,160.0,8,Chest,,1280.0,2024-03-18,Tuesday
2024-03-19,Pec Dec,160.0,9,Chest,,1440.0,2024-03-18,Tuesday
2024-03-19,Hammer Curl,40.0,11,Biceps,,440.0,2024-03-18,Tuesday
2024-03-19,Hammer Curl,40.0,8,Biceps,,320.0,2024-03-18,Tuesday
2024-03-19,Hammer Curl,35.0,8,Biceps,,280.0,2024-03-18,Tuesday
2024-03-19,Hammer Curl,35.0,8,Biceps,,280.0,2024-03-18,Tuesday
2024-03-19,Cable Press (Up),22.5,8,Chest,Triceps,180.0,2024-03-18,Tuesday
2024-03-19,Cable Press (Up),22.5,8,Chest,Triceps,180.0,2024-03-18,Tuesday
2024-03-19,Cable Press (Up),22.5,8,Chest,Triceps,180.0,2024-03-18,Tuesday
2024-03-19,Cable Press (Down),27.5,12,Chest,Triceps,330.0,2024-03-18,Tuesday
2024-03-19,Cable Press (Down),32.5,10,Chest,Triceps,325.0,2024-03-18,Tuesday
2024-03-19,Cable Press (Down),32.5,10,Chest,Triceps,325.0,2024-03-18,Tuesday
2024-03-19,Skull Crushers,80.0,11,Triceps,,880.0,2024-03-18,Tuesday
2024-03-19,Skull Crushers,80.0,9,Triceps,,720.0,2024-03-18,Tuesday
2024-03-23,Barbell Squat,135.0,15,Quads,Glutes,2025.0,2024-03-18,Saturday
2024-03-23,Barbell Squat,225.0,10,Quads,Glutes,2250.0,2024-03-18,Saturday
2024-03-23,Barbell Squat,315.0,3,Quads,Glutes,945.0,2024-03-18,Saturday
2024-03-23,Barbell Squat,315.0,5,Quads,Glutes,1575.0,2024-03-18,Saturday
2024-03-23,Barbell Squat,335.0,2,Quads,Glutes,670.0,2024-03-18,Saturday
2024-03-23,Barbell Squat,355.0,1,Quads,Glutes,355.0,2024-03-18,Saturday
2024-03-23,Barbell Squat,315.0,5,Quads,Glutes,1575.0,2024-03-18,Saturday
2024-03-23,Barbell Squat,315.0,4,Quads,Glutes,1260.0,2024-03-18,Saturday
2024-03-23,Barbell Squat,315.0,3,Quads,Glutes,945.0,2024-03-18,Saturday
2024-03-23,Barbell RDL,135.0,12,Hamstrings,Low Back,1620.0,2024-03-18,Saturday
2024-03-23,Barbell RDL,225.0,10,Hamstrings,Low Back,2250.0,2024-03-18,Saturday
2024-03-23,Barbell RDL,315.0,5,Hamstrings,Low Back,1575.0,2024-03-18,Saturday
2024-03-23,Barbell RDL,315.0,5,Hamstrings,Low Back,1575.0,2024-03-18,Saturday
2024-03-23,Barbell RDL,225.0,8,Hamstrings,Low Back,1800.0,2024-03-18,Saturday
2024-03-23,Leg Extension,120.0,10,Quads,,1200.0,2024-03-18,Saturday
2024-03-23,Leg Extension,120.0,10,Quads,,1200.0,2024-03-18,Saturday
2024-03-23,Leg Extension,120.0,10,Quads,,1200.0,2024-03-18,Saturday
2024-03-23,Leg Extension,120.0,9,Quads,,1080.0,2024-03-18,Saturday
2024-03-25,Lat Pulldown,60.0,12,Lats,Biceps,720.0,2024-03-25,Monday
2024-03-25,Lat Pulldown,60.0,10,Lats,Biceps,600.0,2024-03-25,Monday
2024-03-25,Lat Pulldown,60.0,10,Lats,Biceps,600.0,2024-03-25,Monday
2024-03-25,Lat Pulldown,60.0,8,Lats,Biceps,480.0,2024-03-25,Monday
2024-03-25,Machine Row (Horizontal),80.0,8,Back,,640.0,2024-03-25,Monday
2024-03-25,Machine Row (Horizontal),70.0,10,Back,,700.0,2024-03-25,Monday
2024-03-25,Machine Row (Horizontal),70.0,10,Back,,700.0,2024-03-25,Monday
2024-03-25,Machine Row (Horizontal),70.0,10,Back,,700.0,2024-03-25,Monday
2024-03-25,EZ Curl,100.0,10,Biceps,,1000.0,2024-03-25,Monday
2024-03-25,EZ Curl,100.0,10,Biceps,,1000.0,2024-03-25,Monday
2024-03-25,EZ Curl,100.0,8,Biceps,,800.0,2024-03-25,Monday
2024-03-25,EZ Curl,100.0,8,Biceps,,800.0,2024-03-25,Monday
2024-03-25,Rear Crossover,17.5,10,Shoulders,,175.0,2024-03-25,Monday
2024-03-25,Rear Crossover,17.5,10,Shoulders,,175.0,2024-03-25,Monday
2024-03-25,Rear Crossover,17.5,11,Shoulders,,192.5,2024-03-25,Monday
2024-03-25,Rear Crossover,17.5,10,Shoulders,,175.0,2024-03-25,Monday
2024-03-25,Single Arm Row,70.0,8,Lats,,560.0,2024-03-25,Monday
2024-03-25,Single Arm Row,70.0,8,Lats,,560.0,2024-03-25,Monday
2024-03-25,Single Arm Row,65.0,9,Lats,,585.0,2024-03-25,Monday
2024-03-25,Single Arm Row,65.0,9,Lats,,585.0,2024-03-25,Monday
2024-03-28,Barbell Squat,135.0,15,Quads,Glutes,2025.0,2024-03-25,Thursday
2024-03-28,Barbell Squat,225.0,10,Quads,Glutes,2250.0,2024-03-25,Thursday
2024-03-28,Barbell Squat,315.0,8,Quads,Glutes,2520.0,2024-03-25,Thursday
2024-03-28,Barbell Squat,315.0,5,Quads,Glutes,1575.0,2024-03-25,Thursday
2024-03-28,Barbell Squat,315.0,5,Quads,Glutes,1575.0,2024-03-25,Thursday
2024-03-28,Barbell Squat,335.0,3,Quads,Glutes,1005.0,2024-03-25,Thursday
2024-03-28,Barbell Squat,315.0,5,Quads,Glutes,1575.0,2024-03-25,Thursday
2024-03-28,Barbell Squat,315.0,5,Quads,Glutes,1575.0,2024-03-25,Thursday
2024-03-28,Barbell Squat,315.0,5,Quads,Glutes,1575.0,2024-03-25,Thursday
2024-03-28,Seated Leg Curl,130.0,12,Hamstrings,,1560.0,2024-03-25,Thursday
2024-03-28,Seated Leg Curl,130.0,10,Hamstrings,,1300.0,2024-03-25,Thursday
2024-03-28,Seated Leg Curl,130.0,8,Hamstrings,,1040.0,2024-03-25,Thursday
2024-03-28,Seated Leg Curl,130.0,8,Hamstrings,,1040.0,2024-03-25,Thursday
2024-03-28,Leg Press,280.0,10,Quads,Glutes,2800.0,2024-03-25,Thursday
2024-03-28,Leg Press,370.0,12,Quads,Glutes,4440.0,2024-03-25,Thursday
2024-03-28,Leg Press,460.0,10,Quads,Glutes,4600.0,2024-03-25,Thursday
2024-03-28,Leg Press,550.0,10,Quads,Glutes,5500.0,2024-03-25,Thursday
2024-03-28,Leg Press,550.0,10,Quads,Glutes,5500.0,2024-03-25,Thursday
2024-03-28,RDL,95.0,12,Hamstrings,Low Back,1140.0,2024-03-25,Thursday
2024-03-28,RDL,95.0,10,Hamstrings,Low Back,950.0,2024-03-25,Thursday
2024-03-28,RDL,95.0,10,Hamstrings,Low Back,950.0,2024-03-25,Thursday
2024-03-29,Dumbbell Bench,85.0,11,Chest,Triceps,935.0,2024-03-25,Friday
2024-03-29,Dumbbell Bench,85.0,8,Chest,Triceps,680.0,2024-03-25,Friday
2024-03-29,Dumbbell Bench,85.0,7,Chest,Triceps,595.0,2024-03-25,Friday
2024-03-29,Dumbbell Bench,85.0,6,Chest,Triceps,510.0,2024-03-25,Friday
2024-03-29,Tricep Pushdown,85.0,10,Triceps,,850.0,2024-03-25,Friday
2024-03-29,Tricep Pushdown,85.0,8,Triceps,,680.0,2024-03-25,Friday
2024-03-29,Tricep Pushdown,85.0,7,Triceps,,595.0,2024-03-25,Friday
2024-03-29,Tricep Pushdown,85.0,7,Triceps,,595.0,2024-03-25,Friday
2024-03-29,Cable Press (Up),22.5,11,Chest,Triceps,247.5,2024-03-25,Friday
2024-03-29,Cable Press (Up),22.5,9,Chest,Triceps,202.5,2024-03-25,Friday
2024-03-29,Cable Press (Up),22.5,8,Chest,Triceps,180.0,2024-03-25,Friday
2024-03-29,Cable Press (Up),22.5,8,Chest,Triceps,180.0,2024-03-25,Friday
2024-03-29,Pec Dec,145.0,10,Chest,,1450.0,2024-03-25,Friday
2024-03-29,Pec Dec,145.0,10,Chest,,1450.0,2024-03-25,Friday
2024-03-29,Pec Dec,145.0,10,Chest,,1450.0,2024-03-25,Friday
2024-03-29,Pec Dec,145.0,10,Chest,,1450.0,2024-03-25,Friday
2024-03-29,Skull Crushers,80.0,12,Triceps,,960.0,2024-03-25,Friday
2024-03-29,Skull Crushers,80.0,9,Triceps,,720.0,2024-03-25,Friday
2024-03-29,Skull Crushers,80.0,8,Triceps,,640.0,2024-03-25,Friday
2024-03-29,Skull Crushers,80.0,8,Triceps,,640.0,2024-03-25,Friday
2024-03-30,T-Bar Row,45.0,15,Back,,675.0,2024-03-25,Saturday
2024-03-30,T-Bar Row,90.0,8,Back,,720.0,2024-03-25,Saturday
2024-03-30,T-Bar Row,90.0,8,Back,,720.0,2024-03-25,Saturday
2024-03-30,T-Bar Row,90.0,7,Back,,630.0,2024-03-25,Saturday
2024-03-30,Shoulder Press,60.0,10,Shoulders,,600.0,2024-03-25,Saturday
2024-03-30,Shoulder Press,60.0,8,Shoulders,,480.0,2024-03-25,Saturday
2024-03-30,Shoulder Press,60.0,7,Shoulders,,420.0,2024-03-25,Saturday
2024-03-30,Shoulder Press,60.0,6,Shoulders,,360.0,2024-03-25,Saturday
